"business_id","name","address","city","state","zipcode","total_checkin","num_review","business_rating"
"snO8Dd7fhBLt25O2o3gzYw","Pearl Skin Studio","8751 W Charleston Blvd, Ste 190","Las Vegas","NV","89117",3,6,"5"
"sr2500NlogeAa52rH0vrcw","Wildfire Sunset","1195 W Sunset Rd","Henderson","NV","89014",132,16,"3.5625"
"pIC8VOa9pPvq6JI02DKPlg","Something''s Brewing Cafe","3100 S Durango Dr, Ste 1001","Las Vegas","NV","89117",86,15,"4"
"PCj1wDpVyb6y_h0RulVaHg","Crest Premier Properties","4625 S Lakeshore Dr","Tempe","AZ","85282",NULL,7,"5"
"i-2HewuIRF2ORDT8UfrSUw","Collins Commercial Services","16413 N 91st St, Ste C150","Scottsdale","AZ","85260",1,19,"3.736842105263158"
"oC_TtWhvsUryC8Z6AiUUcg","The Corner Deli","15023 N 73rd St","Scottsdale","AZ","85260",37,8,"4.125"
"-yXkMzPPQ2PvzIC-NrH-Sg","Alta Ravenwood","647 W Baseline Rd","Tempe","AZ","85283",26,4,"1.25"
"TFpiquSDJjJET6EZtpcv9g","Gloss-It Auto Detailing Studio","4060 W Hacienda Ave, Ste 110","Las Vegas","NV","89118",46,49,"4.979591836734694"
"7F74DW-pVnLXy_lEt4yQUQ","J.Crew Factory","685 S Grand Central Pkwy, Bldg 20, Ste 2001","Las Vegas","NV","89106",243,15,"3.3333333333333335"
"fQguRJYXGmYa4mFcpyhHmg","HYATT house Charlotte  Airport","4920 South Tryon Street","Charlotte","NC","28217",114,21,"4.0476190476190474"
"uH43Bxc5TY4FBWHTwUeDSw","Alan L Ozaki, DDS","6707 W Charleston Blvd, Ste 3","Las Vegas","NV","89146",33,14,"5"
"ZQH3h0joR1raJUZMMCtHiQ","Centurion Plumbing Services","308 W Piute Ave","Phoenix","AZ","85027",NULL,3,"2"
"siXCBrVFOXicbM2R-33-8w","The Grind","3961 E Camelback Rd","Phoenix","AZ","85018",1455,291,"3.656357388316151"
"VTs053zNx7kzMq5NUKQ3cQ","Dentpro Of Las Vegas","4502 W Hacienda Ave","Las Vegas","NV","89103",2,5,"3.4"
"art4lJp8tfP0NRxVfIrtWw","Bank of America","5950 W Sahara Ave","Las Vegas","NV","89146",89,14,"2.2142857142857144"
"eHssFUN-EIsh0gfebHhJGg","Angel Touch Foot Reflexology","3575 S Decatur Blvd, Ste 103","Las Vegas","NV","89103",18,7,"2.4285714285714284"
"xG-Wi73Ge-K8mZ6qnClwmg","Oasis at Scottsdale","4140 N 78th St","Scottsdale","AZ","85251",3,3,"3.3333333333333335"
"755TvTVJq5Qr38ny9fN7uQ","Starbucks","7014 E Camelback Rd, Ste 600","Scottsdale","AZ","85251",1485,36,"3.555555555555556"
"HTlsBAd9j1wlWDHxnYczBw","La Fonda Del Sol","7223 E Shea Blvd","Scottsdale","AZ","85260",500,156,"3.8205128205128207"
"4gk2BJcYoBtI13u7nW9Ijg","Vo''s Nails","2986 St Rose Pkwy, Ste 160","Henderson","NV","89052",59,44,"4.363636363636363"
"NozOzgS_hupjcT2nl0189A","Costco Gasoline","15255 N Hayden Rd","Scottsdale","AZ","85260",644,10,"4.4"
"7vNSONJuI4XMrdS_-lDnGQ","Pier 1 Imports","535 N Stephanie St","Henderson","NV","89014",183,13,"3.4615384615384617"
"LlRX-efC5GYnFJxKupd3aw","ANATOMY Nightclub + Ultralounge","1299 W 9th St","Cleveland","OH","44113",36,6,"3.5"
"vibWgNtDWPPXv6wG0q8KLQ","Journeys","7400 Las Vegas Blvd S, Ste 123","Las Vegas","NV","89123",22,6,"4.333333333333333"
"L8zDhwZA9Km6NIh4kuQPCQ","Freshens Smoothies","Mccarran Int''l Airport Concourse A","Las Vegas","NV","89119",24,7,"2.2857142857142856"
"G26LyRQBMhrXSVJwKJLYFA","Ted Baker London","7014 E Camelback Rd, Ste 1428","Scottsdale","AZ","85251",50,8,"3.875"
"CQdX7UXvOC_ld0bdr17EvQ","Food Truck Friday","721 N Central Ave","Phoenix","AZ","85004",517,35,"4.457142857142857"
"f2ZWZPENViL92BrFsIgR6w","Amazing Cuts","6955 N Durango Dr, Ste 1116","Las Vegas","NV","89149",110,39,"4.333333333333333"
"tIRn9YlrJ4Y5IyHzY72i9A","Subway","9031 W Sahara Ave","Las Vegas","NV","89117",154,18,"3.111111111111111"
"mv-ch_a0yBfgBhj5dbKE8Q","Autostrada","20825 N Pima Rd","Scottsdale","AZ","85255",1,11,"3.6363636363636362"
"JLpss-H1qX4tJ9eRuSqgmw","Thompson Peak Family Dental","9360 E Raintree Dr","Scottsdale","AZ","85260",60,22,"4.590909090909091"
"aUdkb2rSJ8x3gCOLhovy4A","Ballin Fades Barber Shop","2730 S Rancho Dr","Las Vegas","NV","89102",7,16,"3.75"
"hV9XufCpXMn2eOHzKZshHQ","Russo''s Pizza","10418 Northfield Rd","Northfield","OH","44067",3,6,"4.666666666666667"
"KqSWho4bavZzNH0qQ5GnQA","Domino''s Pizza","3329 E Bell Rd","Phoenix","AZ","85032",8,23,"2.217391304347826"
"gDyOfw49K5Sr4-vKVVwDfA","Checkers","4855 S Jones Blvd","Las Vegas","NV","89103",122,41,"2.292682926829268"
"Ga2Bt7xfqoggTypWD5VpoQ","Amando''s Bros","2602 W Southern Ave","Tempe","AZ","85282",43,9,"4.222222222222222"
"dCGwJBuJFmUfl4HmCgpd7A","Award Realty Corp","3015 S Jones Blvd","Las Vegas","NV","89146",NULL,5,"2.6"
"Mr6GsFxfTNkWUJO4nBWpLg","Hair Cosmos","4825 S Rainbow Blvd, Ste 211","Las Vegas","NV","89103",10,9,"4.555555555555555"
"_vHBpFRIpgSB8vMG95NcCA","Western Lodge","3725 E Van Buren St","Phoenix","AZ","85008",4,11,"1.7272727272727273"
"STFExsbzRw7O8LcdlKbYiw","Hello Gorgeous","7175 N Durango Dr, Ste 110","Las Vegas","NV","89149",30,8,"1.125"
"znP9DJufKYJUjDuB24HO0Q","McDonald''s","8325 W Deer Valley Rd","Peoria","AZ","85382",43,10,"3.4"
"_vfPCcOrFjdRmBJ9nVIO3A","Empire Plumbing and Air Conditioning","20816 N 20th Ave, Ste 4","Phoenix","AZ","85027",NULL,5,"3.4"
"WW2rMX5nV6LquQeZtNuE-Q","Appliance Repair-Service Arizona","14605 N Airport Dr","Scottsdale","AZ","85260",7,10,"5"
"gqjUOwxbj6wt-2SO5fGRPw","Peoria Cafe","8405 W Peoria Ave","Peoria","AZ","85345",342,99,"4.08080808080808"
"W7DwXa_7LNmETFHSQJZ2Lg","Sushi Mon","8320 W Sahara Ave, Ste 180","Las Vegas","NV","89117",998,158,"3.689873417721519"
"piGQNN6ECbSC0agHhvoVeg","Nail Republic","9310 S Eastern Ave","Las Vegas","NV","89123",922,187,"4.160427807486631"
"48vnBJK0B95JpO0_OMrTQw","No Cover Nightclubs","4575 Dean Martin Dr","Las Vegas","NV","89103",18,157,"4.420382165605096"
"4LZPqYJWbfwscbl6uJntDA","Annapurna Stores","505 S Neil St, Ste 11","Champaign","IL","61820",14,5,"4"
"ZtJ6sTq7-5rL9ORUtQJHAQ","Gaetano''s Ristorante","10271 S Eastern Ave, Ste 111","Henderson","NV","89052",802,205,"4.0634146341463415"
"bFUWmRKsCkborKVe6oaA5g","Jack in the Box","7151 W Craig Rd","Las Vegas","NV","89129",84,14,"3.5"
"ujYrcaXEbxj3KH9r0-FgWg","China Taste","8108 Idlewild Rd, Ste 500","Charlotte","NC","28227",16,6,"3.5"
"crPt12dF0zMQiZ_nUAQvLg","Arcadia Farms Cafe","1625 N Central Ave","Phoenix","AZ","85004",21,19,"3.6315789473684212"
"HBjjGbfBvZ1FU1AaUWyJYQ","Tacos El Rodeo","2115 N Decatur Blvd","Las Vegas","NV","89108",13,9,"3.7777777777777777"
"ZbqA8pQD9unTQ5FAGXvaoQ","Samazing Skin Services","4300 N Miller Rd, Ste 103, Bldg G","Scottsdale","AZ","85251",1,1,"5"
"FTky74MxFIMvAJepeUUzEQ","The Cookie Jar","712 S 6th St","Champaign","IL","61820",17,16,"4.375"
"HXCCITejNvcqtjNQRHnMPw","Del Taco","4380 N Nellis Blvd","Las Vegas","NV","89115",58,7,"2.857142857142857"
"HTAAMVDZ4P0VX5F9euJBoA","Szechwan Garden","5055 W Ray Rd, Ste 1","Chandler","AZ","85226",438,104,"3.9134615384615383"
"Iz7401kE7fWDxgyNw7hZPQ","Function Juicery","4220 S Grand Canyon Dr, Ste 6","Las Vegas","NV","89147",193,53,"4.679245283018868"
"kbeB1hc_Xaduc8XYWP9Mzw","Pittsburgh Symphony Orchestra","600 Penn Ave","Pittsburgh","PA","15222",34,9,"4.666666666666667"
"fB8ri0_dhcezdeTVYdRGkw","Blaze Fast-Fired Pizza","7870 W Bell Rd","Glendale","AZ","85308",12,12,"4.083333333333333"
"t24NEAmx2PBVvC84lQmXwA","Padre Murphy''s","4338 W Bell Rd","Glendale","AZ","85308",522,104,"3.2115384615384617"
"5TD-Wl-Ta7Omjmf9nKZ6gQ","Q Fashion","3159 W Chandler Blvd","Chandler","AZ","85226",7,6,"1.5"
"Zf6IgllycTEFBizr9WQNWQ","Thai Spa Massage 2","9550 S Eastern Ave, Ste 140","Henderson","NV","89123",203,43,"4.6976744186046515"
"BuHbMNbCQzzYi-3Y5w1c4Q","The Habit Burger Grill","365 Hughes Ctr Dr","Las Vegas","NV","89169",666,157,"4.496815286624204"
"SvHAczHxIJ00QlJ9ovQR8g","Ghostbar","4321 W Flamingo Rd","Las Vegas","NV","89103",1591,493,"3.5760649087221097"
"2kWrSFkIes_d2BMg4YrRtA","Pizza Hut","560 N. Nellis Blvd., #E1","Las Vegas","NV","89110",26,11,"3"
"zTGxLMOd9crAz0XNzqrcrA","Empire Chinese Restaurant","410 E Green St, Ste 1","Champaign","IL","61820",65,35,"3.857142857142857"
"8MoXxq_ljTS-jTLJvEWCMQ","A-1 Trailer & Truck Accessories","3346 S Valley View Blvd","Las Vegas","NV","89102",5,8,"5"
"_M-jfz2X_QFr2VwKSvbhxQ","MINI of Las Vegas","5750 West Sahara Ave","Las Vegas","NV","89146",292,99,"3.484848484848485"
"N7hY5ZMttt730xl2BUCYCA","Commons","6530 Annie Oakley Dr","Henderson","NV","89014",16,13,"2"
"fD44IFB9Xxo5pkWXSJes7w","Sonoma Modern America","Bank of America Corporate Center, 100 N Tryon St","Charlotte","NC","28202",14,6,"3.1666666666666665"
"SzB85-8tmDEvoapZSDTBkQ","Roberto''s Taco Shop","5335 S Decatur Blvd","Las Vegas","NV","89118",797,136,"3.6470588235294117"
"sDixNBvYsQJHPuDIMn3DRw","Five Guys","7635 W Bell Rd","Peoria","AZ","85382",201,53,"3.5283018867924527"
"oIHF-oJ2qqOY5W2NQEKJtQ","Subway","8215 W Bell Rd, Ste 121","Peoria","AZ","85382",56,9,"1.8888888888888888"
"RNyWQa2X4PCqdoghDPgwDQ","Chanail Spa","72 W Horizon Ridge Pkwy","Henderson","NV","89012",25,6,"2.3333333333333335"
"mZjbQWUIvIttizeK8AmNvw","Artisan Family Dentistry","18555 N 59th Ave, Ste 127","Glendale","AZ","85308",16,16,"4.6875"
"QEGooBAAKnzzVvzxdeIdGA","Colonial Grand at OldTown Scottsdale","2929 N 70th St","Scottsdale","AZ","85251",238,9,"2.111111111111111"
"87ODE7janf3mFlaTbYZI-Q","Industrie Denim","15257 N Scottsdale Rd, Ste 103","Scottsdale","AZ","85254",35,5,"3.8"
"hZzwkAJG92KkszWO8PoOQA","Fernando''s","2 Ppg Pl Food Ct","Pittsburgh","PA","15222",20,6,"3.6666666666666665"
"y9xrabvHzo1qgv4UwAiYog","Kohl''s","5408 W Bell Rd","Glendale","AZ","85308",227,18,"3.944444444444444"
"5GslSGCDT3gXei0kKR-P3g","Yin Yang Self Serve Frozen Yogurt","4757 E Greenway Rd","Phoenix","AZ","85032",18,9,"4.444444444444445"
"ocLr5R3t3jk5fu2ITqOnLw","Ten01 on the Lake","1001 E Playa Del Norte Dr","Tempe","AZ","85281",1019,29,"3.5172413793103448"
"1Tak6Q-IlkDrdmLwrEZeSg","Off the Strip Just Real Food","9837 W Tropicana Ave","Las Vegas","NV","89147",510,39,"3.6666666666666665"
"WCFz9KVJTtIXSVvD5NMYoQ","Chart House","129 East Fremont St","Las Vegas","NV","89101",614,196,"4.0561224489795915"
"fWetLvfQXqpZcBQLHldUhA","The D Casino Hotel","301 Fremont St","Las Vegas","NV","89101",3097,478,"2.99581589958159"
"wPPp6Aj0PWRHv_YubOOrKQ","Wendy''s","8273 W Union Hills Dr","Glendale","AZ","85308",53,15,"2.1333333333333333"
"Ek_cVX7Y9an0O9Qettz3ZQ","Hair By Frances Monticello","4010 S Fort Apache","Las Vegas","NV","89147",2,6,"3.5"
"oeW0vIYd3rUnAPgmD4fEFg","Deluca''s Diner","2015 Penn Ave","Pittsburgh","PA","15222",961,330,"3.881818181818182"
"r7Llyza-w1fjTqPVgijmIg","Cut-Rite Barber Shop & Salon","1039 E Lemon St","Tempe","AZ","85281",14,8,"4.25"
"pX3TM1r3PTgUdfUTAjk44w","The Beach House","10430 S Eastern Ave","Henderson","NV","89052",81,8,"2.375"
"mcHO0l7ALw5nwCeaKWKBXA","El Cortez Cabana Suites","651 E Ogden Ave","Las Vegas","NV","89101",227,50,"3.66"
"g9JQuGPWCif3hLNktDQRsg","KFC","12621 W Bell Rd","Surprise","AZ","85374",11,12,"1.25"
"ao97N2cqLwMHh7AYKH1j5g","Brewski''s","801 E Carson St","Pittsburgh","PA","15203",55,14,"4.285714285714286"
"g4rkl-BorzlT1hIz_-vsew","Icehouse","2100 S Blvd","Charlotte","NC","28203",633,77,"3.2727272727272725"
"6lovZEiwWcRYRhyKd94DRg","Smashburger","7804 Rea Rd, Ste B","Charlotte","NC","28277",456,110,"3.5"
"qq2k2tohpim0gStdb9vCBw","Joey & Gina''s Restaurant","16041 N Arrowhead Fountains Center Dr","Peoria","AZ","85382",34,36,"3.888888888888889"
"vJaL_UtIRkpmczGrwLSs1Q","Burger 21","2855 W Ray Rd","Chandler","AZ","85224",186,89,"3.49438202247191"
"CrpOuFRhugfQ4gMn1SKRzg","Arcadia Dentistry","4214 E Indian School Rd, Ste 102","Phoenix","AZ","85018",12,15,"4.6"
"RO1KZAmdOs7lSXujfOU9cA","SmartStyle","2310 E Serene Ave","Las Vegas","NV","89123",22,6,"2.1666666666666665"
"rbWL5eZCaHLqhpLd84xwUg","El Cachi Mexican Kitchen","5030 Paradise Rd, Ste 110","Las Vegas","NV","89119",35,15,"5"
"REsdLkJySeYTGssd4Mw-Zg","Atwood European","4013 N 7th St","Phoenix","AZ","85014",9,16,"4.4375"
"9QOcjOObgTllLRWsczJkkg","Hair Touch Studio","3150 N Alma School Rd","Chandler","AZ","85224",4,5,"2.6"
"xv8nVVu2KTtTnAFsxdSpqQ","AutoNation Subaru Scottsdale","15678 N Northsight Blvd","Scottsdale","AZ","85260",70,69,"4.550724637681159"
"0GqDuGbO88WQEx37Lv9dgA","The Daily Glow","8414 E Shea Blvd, Ste 103, Skin Savvy Aesthetics","Scottsdale","AZ","85260",1,6,"5"
"pVUBQo4Acf8t1ZvAQFwW9Q","Max Plumbing","3111 S Valley View Blvd, Ste E105","Las Vegas","NV","89102",NULL,12,"4.416666666666667"
"yckeKwCt1c7nXozE_sY76Q","Motel 6","1530 N 52nd Dr","Phoenix","AZ","85043",31,7,"2.2857142857142856"
"smdGDx5PS2Nt67FXYAQSUA","Little Caesars","4550 E Bell Rd, Ste 192","Phoenix","AZ","85032",38,7,"2.4285714285714284"
"dG9ai2DfcdlDDESttmjONg","Cleats","6405 Pearl Rd","Parma Heights","OH","44130",69,15,"2.6"
"5B2bliw6ZYnFv8VVCdoSDw","Vapor Bombz Vegas","1370 E Flamingo Rd, Ste K","Las Vegas","NV","89119",207,23,"4.565217391304348"
"_zuXI7bwe73jcA_8S3Zq6w","Scottsdale Hair Personality, LLC","2923 N 67th Pl","Scottsdale","AZ","85251",11,10,"4.9"
"No7l4LinY1tu-bCL97qi1A","Palazzo Ristorante","144 6th St","Pittsburgh","PA","15222",25,11,"3.909090909090909"
"XjsCGzq5P1pCiAHotA9HCw","Round Table Pizza","8878 S Eastern Ave, Ste 104","Las Vegas","NV","89123",37,8,"3.75"
"cYia4UtyF3w6K_12Bcmihg","Supercuts","2222 South Blvd Ste I, Shops At Southline","Charlotte","NC","28203",3,4,"3.5"
"O54jXbKjZte4qVYabYjGjg","Zappitelli''s Pizza","9570 Mentor Ave","Mentor","OH","44060",80,26,"4.230769230769231"
"wqJ6eC0bmKsTK5bsSuYhcg","Aquavina","435 S Tryon St","Charlotte","NC","28202",48,8,"3.25"
"c3zYwxR1TcpeO2fugLTxEA","Raspados Paradise Mexican Restaurant","5000 S Arizona Mills Cir","Tempe","AZ","85282",33,22,"2.6363636363636362"
"ZMcbVIEXsLO7j1Q1GXKPSw","A-Ri-Rang","607 S Wright St","Champaign","IL","61820",131,37,"3.5945945945945947"
"sHhaPTGHW5quop2JosQ5_Q","1UP Barbershop","4520 E Thomas Rd","Phoenix","AZ","85018",45,33,"4.848484848484849"
"GIkDupljTD2Pw02bSSv70w","Thinique","15033 N Thompson Peak Pkwy, Ste D101","Scottsdale","AZ","85260",9,7,"3.7142857142857144"
"0GQg5wGV-XWxq9cb7g5TGg","Figs Home & Garden","4501 N 7th Ave","Phoenix","AZ","85013",58,28,"4.035714285714286"
"Tqk-TtGw0YjT_SrxsCPMxw","Baja Fresh Mexican Grill","430 E Bell Rd","Phoenix","AZ","85022",107,7,"3.2857142857142856"
"NAPuzJcanOp91dE4GXPOow","The Montauk","4360 N Scottsdale Rd","Scottsdale","AZ","85251",2244,345,"3.7217391304347824"
"zlU9CdZf2IjfPY5KGdZxKA","Things Remembered","7014 E Camelback Rd, Ste 2072","Scottsdale","AZ","85251",12,6,"4.166666666666667"
"YNtJQow1SAicfXOXVvaTdQ","CVS Pharmacy","3270 S Buffalo Dr","Las Vegas","NV","89117",249,10,"3.1"
"PrFLJCD1zz1s0bjKEigDLg","I-Bar","3700 W Flamingo Rd","Las Vegas","NV","89103",160,22,"3.2727272727272725"
"XKS-ZYZQWs_4s3EZMYWcPQ","AZ Admire Nails & Spa","5865 W Ray Rd, Ste 4","Chandler","AZ","85226",4,13,"4.076923076923077"
"n43SvzsYHO_4UTC_QwrZKA","Great Clips","3223 S McClintock Dr","Tempe","AZ","85282",70,16,"3.875"
"ZHiT9EIlnKMqbpBUmxSh_Q","Allure Med Spa- Scottsdale","7246 E 1st St, Ste 102","Scottsdale","AZ","85251",66,58,"4.482758620689655"
"4EcY5S3Ph-jdl5IITHiw6Q","Paradise Valley Eye Care","12450 N 32nd St, Ste 1","Phoenix","AZ","85032",81,17,"4.117647058823529"
"gh07-uAHqmDZkj_u9rQHZQ","The Blue Moose","7373 E Scottsdale Mall","Scottsdale","AZ","85251",616,54,"3.6296296296296298"
"gkU9qqkTeH72ss8SzBZYAQ","Subway","470 E Windmill Ln, Ste 115","Las Vegas","NV","89123",95,14,"4.285714285714286"
"uwpPniaFEVkK5T_PWdQZ0A","Le Peep","8140-100 Providence Rd","Charlotte","NC","28277",375,91,"3.681318681318681"
"P_ilOWgHj2DMSSZSDtvzbg","Sky Lounge","132 E Washington St","Phoenix","AZ","85004",78,23,"2.5652173913043477"
"Auky7_gMsUdB91V0EAgbhA","Mejico Cocina Mejicana","2333 E Osborn Rd","Phoenix","AZ","85016",212,88,"4.318181818181818"
"WBhowE-ocZO_hR59rTlX-w","The Attic Bar","200 N Tryon St","Charlotte","NC","28205",12,10,"3.5"
"ixYs0avQ-TD-bK47y4pcTA","JCPenney","10101 E Independence Blvd","Matthews","NC","28105",89,7,"3.5714285714285716"
"buTa1akbH0pO_P10v99_eA","Honey Pig","4725 Spring Mountain Rd","Las Vegas","NV","89102",1894,328,"3.3871951219512195"
"lsdVhR2m8lIeogsBQZrZVQ","Sola Salon Studio","170 S Green Valley Pkwy, Ste 100","Henderson","NV","89012",19,11,"4.545454545454546"
"5GoBfhIyEN-BMzVjO5QLeA","Red Robin Gourmet Burgers","19 S McClintock Dr","Tempe","AZ","85281",1306,146,"3.3767123287671232"
"QNraL-gIxGAeXY2bNqTDdQ","The Baked Bear","420 S Mill Ave, Ste 106","Tempe","AZ","85281",111,50,"4.1"
"m2O8Et88GKz5ldQtcQ1Zmg","Nevada Nails","4075 S Durango Dr","Las Vegas","NV","89147",2,7,"3"
"1F7SjxEmqhFmDfQgpTI8sA","Paradise Nails & Spa","9340 W Flamingo Rd","Las Vegas","NV","89147",7,9,"2.6666666666666665"
"ZaL3mKpmt1dopkq7bdetbQ","Whataburger","2747 E Broadway Rd","Mesa","AZ","85204",212,20,"3"
"lmNpuLiA6Jtn3lL2Ec43Qw","Playas De Cancun","3513 E Charleston St","Las Vegas","NV","89104",19,7,"4.428571428571429"
"mImY1Fi_de1hMuWr0Yqocw","Midas","4223 East Bell Rd","Phoenix","AZ","85032",20,8,"2.5"
"LLGCa1g8owtW7xa0BbKDug","Mm! Mm! Pizza","3637 Washington Rd","Mc Murray","PA","15317",24,10,"3.8"
"Oa36vjcNukdm7xXcLZ6IPQ","Wendy''s","1110 E Baseline Rd","Tempe","AZ","85283",69,16,"2.1875"
"SKpg4zgr83YPZ14uzhmn9g","Ciao Grazie","18835 N Thompson Peak Pkwy","Scottsdale","AZ","85255",194,84,"4.190476190476191"
"XvOzizKafffkMuk-tIdNcQ","Squeeze In","8876 S Eastern Ave","Las Vegas","NV","89123",563,113,"4.035398230088496"
"tmz9IDGGULX9OjqYzS8Y0w","Wolfson Medical Center","6803 W Tropicana, Ste 100","Las Vegas","NV","89128",5,8,"3.625"
"nN1hW4ySFDp-rpjCWl4DSA","Pump Salon","7985 W Sahara Ave, Ste 106","Las Vegas","NV","89117",20,28,"5"
"2YouuAaGpZmNctof7CF5KQ","Graduate Hotel","601 Langdon St","Madison","WI","53703",22,8,"3.125"
"2SedpQ674XBqyw3Wq4kyxQ","McDonald''s","1350 S Power Rd","Mesa","AZ","85206",79,10,"2.1"
"ghVWzVyEUW1BA_WBX-P5aQ","Blue Burrito Grille","7014 E Camelback Rd, Ste 577","Scottsdale","AZ","85251",60,6,"2.5"
"RKV80Bg4ZxVFQXkWDfuYCA","On the Border Mexican Grill & Cantina","1665 S Stapley Dr","Mesa","AZ","85204",NULL,6,"2.3333333333333335"
"A0SbRhbMA6iIQTpvLVcRUg","McIlvain Motors","939 S 48th St, Ste 215","Tempe","AZ","85281",NULL,9,"5"
"K0VNhFhaOrO3CypCqofjwA","MA MA Wok","11914 Elm Ln, Ste 100","Charlotte","NC","28277",35,21,"3.4761904761904763"
"qjSpyukIL7labiBiPYlWvQ","Sizzling Wok Restaurant","6908 Matthews Mint Hill Rd, Ste 310","Mint Hill","NC","28227",67,16,"3.3125"
"J2lK3CpbCLJUXCc0OAPMsg","Cafe Verdi","2990 St Rose Pkwy","Henderson","NV","89052",2,6,"2.5"
"L877pDtfa3FyN0fcNeCdlA","Five Guys","10271 S Eastern Ave, Ste 101","Henderson","NV","89052",1103,172,"3.633720930232558"
"e3h-84XywX_m2_kNRC7LCg","Pep Boys","4141 N Rancho Dr","Las Vegas","NV","89130",19,25,"3.6"
"FtmaxtMhJzEcX8Kj9Gyk8A","Apache Muffler Inc","720 W Main St","Mesa","AZ","85201",2,12,"4.5"
"rsWSdtHfGDT5thc7aDN6PA","Gorgeous Nails Lounge","9075 S Eastern Ave, Ste 3","Las Vegas","NV","89123",249,77,"4.3896103896103895"
"DUAKXNEh7c2v8mu8nWKYOg","Loreto''s Mexican Food","9206 S Avenida Del Yaqui","Tempe","AZ","85283",70,17,"4.235294117647059"
"2qO6dJqfsONLdilgD-NJ5w","The Greens Apartments","125 S Alma School Rd","Chandler","AZ","85224",10,15,"3.2"
"O275_cjC8Q4_SGU0I6jWzw","Shangri-La De Old Cathay","2992 N Alma School Rd, Ste 3","Chandler","AZ","85224",13,7,"3.142857142857143"
"6SWrq8hoojnUHeAcJByCCg","Dave''s Astanga Yoga","7950 E Redfield, Ste 170","Scottsdale","AZ","85260",207,6,"5"
"TwYdL1qY7FFBl1BqCo-CJw","Sorella''s Pizza","14769 Pearl Rd","Strongsville","OH","44136",2,9,"4.666666666666667"
"tYM2IKe3W5oRKY_GjqsVvw","Wells Fargo Bank","4425 Spring Mountain Rd","Las Vegas","NV","89102",324,9,"2.7777777777777777"
"2fY8CEOjXUkIBz3cgXZJQQ","Jack in the Box","620 E Buckeye Rd","Phoenix","AZ","85004",37,6,"2"
"OHL9emjVt2VytjDkSW0vOw","Chase Bank","2585 S Rainbow Blvd","Las Vegas","NV","89146",115,5,"3.6"
"D4BzeIfrdAgpsAkDqlg7sQ","Queen Nails","1819 Matthews Township Pkwy, Ste 300","Matthews","NC","28105",24,9,"3.6666666666666665"
"V_35UreRWiOmHUM3WFlX4A","Findlay Acura","315 Automall Dr","Henderson","NV","89014",162,34,"3.5"
"sH9aI3xg-POBMp8R-kSQZg","Portofino''s","8128 Providence Rd, Ste 100","Charlotte","NC","28277",227,62,"3.5483870967741935"
"r5DsEDZSDdtUMydxd_pJXw","Riviera Village Apartments","1532 S Price Rd","Tempe","AZ","85281",2,3,"1"
"dHugOm6IEuchuykiQL6Qfg","Sandbar","10050 N Scottsdale Rd","Scottsdale","AZ","85253",106,36,"3.138888888888889"
"-KsER702IEQF7QOXANuAIg","Road Runner Sports","43 S McClintock Dr","Tempe","AZ","85281",551,83,"4.072289156626506"
"6KgGE8B1RsR7jc9R5nuH0Q","Ruby Tuesday","4 E University Dr","Tempe","AZ","85281",12,7,"2.142857142857143"
"7c31l6s6adbYzrSIjRrQPw","Nails by Stormi","9151 Las Vegas Blvd S, Ste 322","Las Vegas","NV","89123",2,15,"5"
